nimi;kirjeldus;id;registrikood;omanik
Hasartmängumaksu deklaratsiooni õnnemängu korraldamisel mänguautomaadil esitamine;Hasartmängumaksu deklaratsioon esitatakse ja hasartmängumaks tasutakse maksustamisperioodile järgneva kalendrikuu 15. kuupäevaks.;mta-046;70000349;
MOSS-erikorra kasutajaks registreerimise avalduse esitamine;Isikud, kes soovivad kasutada erikorda, esitavad Maksu- ja Tolliametile avalduse erikorra kasutamiseks.;mta-045;70000349;
MOSS deklaratsiooni esitamine. Elektroonilise side teenuste ja elektrooniliste teenuste käibemaksuga maksustamise erikord;Deklareerimisperiood on üks kalendrikvartal ja deklaratsioon tuleb esitada deklareerimisperioodile järgneva kuu 20 kuupäevaks. MOSS-deklaratsiooni saab esitada alates maksustamisperioodile järgneva kvartali esimesest päevast.;mta-044;70000349;
Vorm VDP. Ühendusesisese käibe muutmise aruande esitamine;Esitatakse juhul kui VD aruannet muudetakse või VD auranne on õigeaegselt jäänud esitamata.;mta-043;70000349;
VD. Ühendusesisene käibe aruande esitamine;Aruanne esitatakse kalendrikuule järgneva kuu 20. kuupäevaks;mta-042;70000349;
Vorm PKR. Piiratud maksukohustuslasena registreerimise avalduse esitamine;Teenused, mille saamise päevast alates tekib piiratud käibemaksukohustuslasena registreerimise kohustus, on loetletud käibemaksuseaduse § 10 lõikes 5.;mta-041;70000349;
Vorm KR. Käibemaksukohustuslasena registreerimise avalduse esitamine;Registreerimiskohustuse tekkimise päevast alates kolme tööpäeva jooksul on isik kohustatud esitama maksuhaldurile avalduse enda maksukohustuslasena registreerimiseks.;mta-040;70000349;
Vorm KRÜ. Käibemaksugrupi registreerimisavalduse esitamine;Käibemaksugrupina registreerimine vastavalt „Käibemaksuseaduse“ § 26 lõikele 1;mta-039;70000349;
Vorm KMD INF. Käibedeklaratsiooni lisa esitamine;Käibemaksuseaduse (KMS) § 27 lõike 12 kohaselt kajastatakse käibedeklaratsiooni lisal juriidilisele isikule, füüsilisest isikust ettevõtjale ning riigi-, valla- ja linnaasutusele väljastatud ning nendelt saadud arvete andmed.;mta-038;70000349;
Riigi kinnisvararegistri kasutajatugi;Riigi kinnisvararegistri kasutamisega seonduvate küsimuste ja probleemide lahendamine;RM-027;70000272;
Riigi kinnisvararegistri teadete ja teavituste tellimine e-mailile;Riigi kinnisvararegistri automaatteadete tellimine registreeritud kasutajatele;RM-026;70000272;
Riigi kinnisvaraga seonduva üldinfo ja uuringute avalikustamine (infoportaal);Kinnisvaravaldkonnaga seotud uudiste, koostatud juhendmaterjalide, läbiviidud uuringute ja projektide avalikustamine;RM-025;70000272;
Riigi kinnisvara kasutuslepingute haldamine;Riigiasutuse kasutuses oleva või kasutussse antud kinnisvaraga seotud lepingute lisamine, muutmine, täiendamine;RM-024;70000272;
Riigi kinnisvara investeeringute kavandamine;Riigiasutuse omandis oleva kinnisvara investeeringute kavandamise läbiviimine asjassepuutuvate osapoolte (RKAS, Rahandusministeerium, riigivara valitseja) vahel;RM-023;70000272;
Riigi kinnisvara tegevuskulude kavandamine;Riigiasutuse kasutuses või omandis oleva kinnisvara tegevuskulude kavandamise läbiviimine asjassepuutuvate osapoolte (RKAS, Rahandusministeerium, riigivara valitseja) vahel;RM-022;70000272;
Riigi kinnisvaratehingute menetlemine;Riigiasutuse poolse kinnisvare omandamise, võõrandamise, kasutusse andmise, kasutusse võtmise või üle andmise protsessi menetlemine;RM-021;70000272;
Riigi kinnisvara menetluste aruanne;Riigi kinnisvararegistri päring järgnevate andmeväljade alusel: üle antud alates, üle antud kuni, andja, saaja;RM-020;70000272;
Riigi kinnisvara võõrandamislepingute aruanne;Riigi kinnisvararegistri päring järgnevate andmeväljade alusel: sõlmitud alates, sõlmitud kuni, alamliik, võõrandamisviis, võõrandaja;RM-019;70000272;
Riigi kinnisvara omandamislepingute aruanne;Riigi kinnisvararegistri päring järgnevate andmeväljade alusel: sõlmitud alates, sõlmitud kuni, alamliik, omandaja;RM-018;70000272;
Riigi omandis või kasutusesolevate maaüksuste aruanne;Riigi kinnisvararegistri päring järgnevate andmeväljade alusel: objekti kood, vana RHR kood, katastritunnus, valitseja, volitatud asutus, asukoht alusel;RM-017;70000272;
Riigi omandis või kasutuses olevate rajatiste aruanne;Riigi kinnisvararegistri päring järgnevate andmeväljade alusel: objekti kood, vana RHR kood, EHR kood, valitseja, volitatud asutus, asukoht alusel ;RM-016;70000272;
Riigi omandis või kasutuses olevate hoonete aruanne;Riigi kinnisvararegistri päring järgnevate andmeväljade alusel: objekti kood, vana RHR kood, EHR kood, valitseja, volitatud asutus, asukoht alusel;RM-015;70000272;
Riigi omandis või kasutuses oleva kinnisvara ja kinnisvara valitsejate aruanne;Riigi kinnisvararegistri päring järgnevate andmeväljade alusel: objekti kood, nimetus, valitseja, vara liik, kinnistu registriosa nr, RVR kood, aadress, volitatud asutus, valitsemise eesmärk, katastritunnus, EHR kood;RM-014;70000272;
EMTAK-i põhine nõustamine;Nõustatakse EMTAK klassifikaatori kasutajaid tegevusala klassifitseerimisel;RIK-003;70000310;48812124809
KMD. Käibedeklaratsiooni esitamine;Käibedeklaratsioon ja selle lisa tuleb esitada Maksu- ja Tolliametile maksustamisperioodile (üldjuhul kalendrikuu) järgneva kuu 20. kuupäevaks.;mta-037;70000349;
Dividendiväljamaksetelt tulumaksu tasumise tõendi kinnitamine;Maksustatud dividendi väljamaksja  ja dividendi saaja andmed.;mta-036;70000349;
Vorm TPS. Töötaja eest tasutud täiendava kogumispensioni kindlustusmaksete ja vabatahtliku pensionifondi osakute soetamiseks makstud summade tõendi kinnitamine;„Tulumaksuseaduse” § 40 lõike 61 kohaselt on tulumaksu kinnipidaja kohustatud andma.;mta-035;70000349;
Vorm TD. Omakapitalist tehtud väljamaksete, äriühingute ühinemisel või jagunemisel üleantud õiguste tõendi kinnitamine;Tõend antakse omakapitali väljamaksete või õiguste saaja nõudmisel väljamaksete tegemisele või õiguste üleandmisele järgneva kalendrikuu 5. kuupäevaks.;mta-034;70000349;
Juurnimeserverite varuvõimsus;Juurnimeserverite varuvõimsus i-root.servers.net.  I-root nimeserveri olemasolu võimaldab korrektset ja usaldusväärset nimelahendust ka olukorras, kus juurdepääs välismaale on mingil põhjusel blokeeritud.;RIA-047;70006317;48812124810
Vorm TSM LIF. Lepingulisele investeerimisfondile tehtud väljamaksete ja kinnipeetud tulumaksu tõendi kinnitamine;Tõend antakse isiku nõudmisel hiljemalt kalendriaastale järgneva aasta 1. veebruariks.;mta-033;70000349;
Vorm TSM MR. Mitteresidendile tehtud väljamaksete, kinnipidamiste ja maksude tõendi kinnitamine;Tõend antakse isiku nõudmisel hiljemalt kalendriaastale järgneva aasta 1. veebruariks või tema töölt lahkumisel seoses töölepingu lõppemisega.;mta-032;70000349;
Vorm TSM. Residendist füüsilisele isikule tehtud väljamaksete, kinnipidamiste ja maksude tõend kinnitamine;Tõend antakse isiku nõudmisel hiljemalt kalendriaastale järgneva aasta 1. veebruariks või tema töölt lahkumisel seoses töölepingu lõppemisega.;mta-031;70000349;
Ajatempel;Vahendame Guardtime ajatempli teenust;RIA-046;70006317;48812124810
Geoloogiafondi teenus;Geoloogiliste uuringute ja üldgeoloogiliste uurimitööde käsikirjade toimikute arhiiv ja klienditeenindus, aruannete kataloog on veebis (keskkonnaregistri arhiiv);MAA-021;70003098;48812124811
Puursüdamike andmebaasi teenus;Geoloogiliste puursüdamike andmete vastuvõtt, hoidmine ja avalikustamine (keskkonnaregistri arhiiv);MAA-020;70003098;48812124811
Geoloogiline kaart;Geoloogilise kaardi andmete koostamise tellimine,vastuvõtmine, väljastamine, avalikustamine;MAA-019;70003098;48812124811
Fluoritud kasvuhoonegaaside aruannete esitamine;Iga aasta 20. juuniks on teatud asutustel kohustus esitada Keskkonnaministeeriumile fluoritud kasvuhoonegaaside aruandeid.;KEM-016;70001231;48812124805
Kasvuhoonegaaside (KHG) heitkoguse aruandluse (sh tõendamisaruande) esitamine;Iga aasta 25. märtsiks on EL-i KHG lubatud heitkoguse ühikutega kauplemise süsteemis osalevatel käitajatel kohustus esitada eelneva kalendriaasta kohta heitkoguse aruanne Keskkonnaministeeriumile ning iga-aastaselt heitkoguse tõendamisaruanded.;KEM-015;70001231;48812124805
Kasvuhoonegaaside heitkoguse loa taotlemine;Paikse saasteallika käitajal peab olema heitkoguse luba, et paisata käitisest või selle osast välisõhku kasvuhoonegaase.;KEM-014;70001231;48812124805
Kyoto protokolli-alane aruandlus;Eesmärk on anda ülevaade Kyoto protokolliga kaasnevast lubatud koguse aruandlusest Euroopa Liidu kasvuhoonegaaside lubatud heitkoguse ühikutega kauplemise süsteemi registris (Assigned amount reporting in Standard Electronic Format - SEF);KEM-013;70001231;48812124805
Ehitusgeoloogia aruannete vastuvõtmine ja  avalikustamine;Ehitusgeoloogia aruannete vastuvõtmine ja  avalikustamine;MAA-018;70003098;48812124811
Keskkonnaregistri maardlatel asuvate planeeringute kooskõlastamine;Keskkonnaregistri maardlatel asuvate planeeringute kooskõlastamine;MAA-017;70003098;48812124811
Karistusregistri teadete väljastamise teenus;Karistusregister on riigi andmekogu, kuhu kantakse andmed karistatud isiku ja tema karistuse kohta. Karistusregistri andmed on avalikud ja igaühel on võimalik karistusregistrist andmeid küsida.;RIK-002;70000310;48812124812
Deklaratsiooni ESD esitamine. Erijuhtude sotsiaalmaksu deklaratsiooni esitamine;Füüsilisest isikust ettevõtja deklareerib oma abikaasa eest sotsmaksuseaduse lausel arvestatud sotsiaalmaksu;mta-030;70000349;
Maaparanduse kooskõlastused ja tõendusdokumendid;PMA muudab taotluse alusel maaparandussüsteemi siht- või kasutusotstarvet, kooskõlastab üld- või detailplaneeringu ning võtab maaparandussüsteemid arvele. ;PMA-009;70000071;48812124791
Deklaratsiooni TSD lisa 7 esitamine. Dividendid ja muude kasumieraldiste, väljamaksete omakapitalist ning nendega seotud õiguste deklareerimine;Esitatakse igakuiselt 10ndaks kuupäevaks;mta-029;70000349;
Deklaratsiooni TSD lisa 6 esitamine. Ettevõtluse ja põhikirjalise tegevusega mitteseotud kulude ja muud väljamaksete deklareerimine;Esitatakse igakuiselt 10ndaks kuupäevaks;mta-028;70000349;
Deklaratsiooni TSD lisa 5 esitamine. Kingituste, annetuste ja vastuvõtukulude deklareerimine;Esitatakse  igakuiselt 10ndaks kuupäevaks;mta-027;70000349;
Deklaratsiooni TSD lisa 4 esitamine. Erisoodustuste deklareerimine;Esitatakse igakuiselt 10ndaks kuupäevaks;mta-026;70000349;
Deklaratsiooni TSD lisa 3 esitamine. Mitteresidendist juriidilise isiku püsivast tegevuskohast väljaviidud kasumi deklareerimine;Esitatakse igakuiselt 10ndaks kuupäevaks;mta-025;70000349;
Deklaratsiooni TSD lisa 2 esitamine;Tööandja deklareerib igakuiselt 10daks kuupäevaks mitteresidentidele tehtud väljamaksed, maksud ja maksed.;mta-024;70000349;
Deklaratsiooni TSD lisa 1 esitamine;Residendist füüsilistele isikutele tehtud väljamaksed, kinnipeetud tulumaks, kohustusliku kogumispensioni makse ja töötuskindlustusmakse ning arvutatud sotsiaalmaks ja tööandja töötuskindlustusmakse.;mta-023;70000349;
Deklaratsiooni TSD esitamine. Tulu- ja sotsiaalmaksu, kohustusliku kogumispensioni makse ja töötuskindlustusmakse deklaratsiooni esitamine;Esitatakse igakuiselt 10ndaks kuupäevaks.;mta-022;70000349;
Deklaratsiooni MM Lisa esitamine. Osalused madala maksumääraga territooriumil asuvas juriidilises isikus.;Vormile kantakse residendist füüsiline isik, kes omas maksustamisperioodil madala maksumääraga territooriumil (“Tulumaksuseaduse” § 10) asuva juriidilise isiku aktsiaid, osasid, hääli või õigust nimetatud juriidilise isiku kasumile.;mta-021;70000349;
Deklaratsiooni MM esitamine. Madala maksumääraga territooriumil asuva juriidilise isiku tulu deklareerimine;Residendist füüsilise isiku tulu hulka kuulub madala maksumääraga territooriumil asuva juriidilise isiku tulu.Madala maksumääraga territooriumil asuva juriidilise isiku tulu deklareerimisel esitatakse lisaks vormile A ka vorm MM ja vormi MM lisa;mta-020;70000349;
Deklaratsiooni V1 esitamine. Mitteresidendi ja lepingulise investeerimisfondi Eestis asuva vara võõrandamisest saadud kasu deklaratsiooni esitamine;Eestis vara võõrandamisest (TuMS § 29 lõiked 4 ja 5) kalendriaastas saadud maksustatava kasu kohta.;mta-019;70000349;
Deklaratsiooni E1 esitamine. Mitteresidendi Eestis ettevõtlusest saadud tulu deklaratsiooni esitamine;Deklaratsioon mitteresidendi Eestis toimunud ettevõtlusest saadud tulu (TuMS § 29 lg 3) kohta.;mta-018;70000349;
Deklaratsiooni A1 esitamine. Mitteresidendi ja lepingulise investeerimisfondi Eestis saadud tulu, millelt ei ole tulumaksu kinni peetud, deklaratsiooni esitamine;Deklaraatsiooni A1 esitamine. Esitatakse juhul, kui mitteresident on saanud Eestis maksustatavat tulu (TuMS § 29 lg 1 (töö- ja teenustasu), 2 (juhtimis- või kontrollorgani liikme tasu), 6 (renditulu ja litsentsitasu), 7 (intress), 9 (muu tulu);mta-017;70000349;
Tööstusdisainilahenduse õiguste võõrandamise ja ülemineku registrisse kandmise taotlemine;Saab täita ja saata Patendiametisse elektroonilisi taotlusi tööstusdisainilahenduse õiguste võõrandamise ja ülemineku kandmiseks registrisse.;EPA-020;70003164;48812124813
Tuludeklaratsiooni  vormi A tabelid 8 ja 9.7 esitamine. Välismaal saadud tulu ning välisriigis tasutud sotsiaalkindlustuse maksude ja maksete deklareerimine;Välismaal kõikidest tuluallikatest saadud tulud: töötasu, ettevõtlustulu, dividend, rendi- või üüritulu, litsentsitasu, meelelahutaja või sportlase tasu, intressitulu, pension, erisoodustused, kultuuri-, spordi- ja teadusalased preemiad,toetused;mta-016;70000349;
Tööstusdisainilahenduse registreeringu kehtivusaja pikendamine;Saab täita ja saata Patendiametisse elektroonilisi taotlusi tööstusdisainilahenduse kehtivusaja pikendamiseks;EPA-019;70003164;48812124813
Füüsilise isiku tuludeklaratsiooni juurde lisadokumentide esitamine;Residendist füüsilise isiku tulust tehtavate mahaarvamiste tõendamiseks esitatavad dokumendid;mta-015;70000349;
Tuludeklaratsiooni E vormi lisa esitamine. Füüsilisest isikust ettevõtja ettevõtte üleandmine;Ettevõtluse üle andmisel isikule, kes jätkab FIE ettevõtlust, esitab üleandja vormi E lisa koos vormidega A ja E maksustamisperioodile järgneva aasta 31. märtsiks.;mta-014;70000349;
Füüsilise isiku tuludeklaratsiooni (FIDEK) E vormi esitamine;Füüsilisest isikust ettevõtja ettevõtlustulu ja kulud.Vorm E esitatakse koos füüsilise isiku tuludeklaratsiooni vormiga A maksustamisperioodile (kalendriaastale) järgneva aasta 31. märtsiks.;mta-013;70000349;
Füüsilise isiku tuludeklaratsiooni (FIDEK) A vormi esitamine;Füüsilise isiku aastapõhine tulude/kulude arvestus;mta-012;70000349;
x-tee turvaserveri tarkvara;x-tee turvaserveri tarkvara allalaadimine;RIA-045;70006317;48812124814
x-tee turvaserveri IP muutmine (test-ja toodangukeskkond);x-tee turvaserveri IP muutmine (test-ja toodangukeskkond);RIA-044;70006317;48812124814
x-tee sertifikaadi taotlemine (test-ja toodangukeskkonnas);x-tee andmekogu või asutuse sertifikaadi taotlemine (test-ja toodangukeskkonnas);RIA-043;70006317;48812124814
Järelevalve;Riigi ja kohaliku omavalitsuse asutuste ning elutähtsa teenuse osutajate oluliste infosüsteemide turvalisuse kontroll;RIA-042;70006317;48812124815
ISP vahetussõlm;ISP-de omavaheline liikluse vahetussõlm;RIA-041;70006317;48812124810
TESTA võrguühendus kliendi liitumispunktis;TESTA (Trans-European Services for Telematics between Administrations) on turvaline ja usaldusväärne andmeside teenus, mida kasutatakse andmevahetuseks EL institutsioonide ja liikmesriikide vahel.;RIA-040;70006317;48812124810
Andmesidekanal kliendi kahe punkti vahel;Andmesidekanal kliendi kahe punkti vahel;RIA-039;70006317;48812124810
Kõrgkäideldav andmesideühendus kliendi liitumispunktis;Kõrgkäideldav andmesideühendus kliendi liitumispunktis. Kõik ASO kliendid saavad kasutada nii IPV4 kui IPV6 aadressiruumi.;RIA-038;70006317;48812124810
Tööstusdisainilahenduse omaniku andmete (nime ja/või aadressi) muutmine;Saab täita ja saata Patendiametisse elektroonilisi taotlusi tööstusdisainilahenduse omaniku andmete (nime ja/või aadressi) muutmiseks.;EPA-018;70003164;48812124813
Rahvastikuregistri andmetes leitud veast teavitamine;Isik teavitab rahvastikuregistris leitud vigadest oma andmetes;SIM-023;70000562;48812124816
Statistiliste andmete muutmine rahvastikuregistris;Isikul on võimalik registrit teavitada oma statistiliste andmete (rahvus, emakeel, haridus, tegevusala) muutumistest. Päringu tulemusel kantakse esitatud andmed rahvastikuregistrisse. Teavitada saab eesti.ee-s või digiallkirjastult e-postiga.;SIM-022;70000562;48812124816
EMTAK otsing;Tegevusalade ja nendega seotud komponentide (erinõuded, seotud seadused, vastutavad asutused) otsing;RIK-001;70000310;48812124809
Rahvastikuregistri partneri poolt tehtud päringute ajaloo vaatamine;Rahvastikuregistri lepinguline partner saab vaadata enda tehtud päringuid rahvastikuregistris. Teenust saavad kasutada asutused, kes on Siseministeeriumiga lepingu sõlminud. ;SIM-021;70000562;48812124816
Isikut tõendava dokumendi kehtivuse kontroll rahvastikuregistri partnerile;Rahvastikuregistri lepinguline partner saab vaadata inimesele väljastatud isikut tõendava dokumendi kehtivust. Teenust saavad kasutada asutused, kes on Siseministeeriumiga lepingu sõlminud.;SIM-020;70000562;48812124816
Isikuandmete päring rahvastikuregistri partnerile;Rahvastikuregistri lepinguline partner saab vaadata rahvastikuregistrisse kantud isikuandmeid. Teenust saavad kasutada asutused, kes on Siseministeeriumiga lepingu sõlminud.;SIM-019;70000562;48812124816
Kaubamärgiõiguste võõrandamise ja ülemineku registrisse kandmise taotlemine;Saab täita ja saata Patendiametisse elektroonilisi taotlusi kaubamärgiõiguste võõrandamise ja ülemineku registrisse kandmiseks.;EPA-017;70003164;48812124813
Isiku dokumentide päring rahvastikuregistri partnerile;Rahvastikuregistri lepinguline partner saab vaadata isiku dokumentide andmeid. Teenust saavad kasutada asutused, kes on Siseministeeriumiga lepingu sõlminud.;SIM-018;70000562;48812124816
Aadressi päring rahvastikuregistri partnerile;Rahvastikuregistri lepinguline partner saab vaadata aadressi järgi isikute andmeid. Teenust saavad kasutada asutused, kes on Siseministeeriumiga lepingu sõlminud.;SIM-017;70000562;48812124816
Telestuudiote ja -tehnika rent;Eraisikutel ja äriühingutel on võimalus rentida telestuudioid ja -tehnikat ürituste vms tarbeks. ;ERR-014;74002322;48812124817
Kostüümilaenutus;Kodanikud saavad laenutada kostüüme, mis on kunagi ETV saadete jaoks valmistatud. ;ERR-013;74002322;48812124818
ERR pood;ERR poes müüakse erinevatele andmekandjatele (DVD, CD) salvestatud omasaateid (lastesaated, filmid, telelavastused, heliteosed jms). Tooteid on võimalik osta e-poest ja ka kohapealt.;ERR-012;74002322;48812124819
ERRi saate/salvestise koopia tellimine;Kodanikel on võimalik tellida andmekandjale saate/salvestuse koopiaid vastavalt hinnakirjale;ERR-011;74002322;48812124820
Raadio Tallinn;Raadioprogramm;ERR-010;74002322;48812124821
Kaubamärgi registreeringu kehtivusaja pikendamine;Saab täita ja saata Patendiametisse elektroonilisi taotlusi kaubamärgi kehtivusaja pikendamiseks;EPA-016;70003164;48812124813
Nimede päring sünni registreerimiseks;Võimalik on sisestada nimi, mida soovitakse anda lapsele sünni registreerimisel. Päringu tulemuseks on kas jaatava või argumenteeritud eitava vastuse saamine perekonnaseisuametnikult. Täpsemad nime andmise reeglid on ära toodud nimeseaduses.;SIM-016;70000562;48812124816
Nimede statistika päring;Päringuga saab esitada ees- või ees- ja perekonnanime päringu ning vastuseks saadakse vastavate nimede arv rahvastikuregistris.;SIM-015;70000562;48812124816
Enda andmete päring;Päring võimaldab näha enda aktuaalseid andmeid rahvastikuregistris. Samuti kuvatakse isikuga seotud kehtivate dokumentide loetelu.;SIM-014;70000562;48812124816
Sugulussuhete päring;Päring võimaldab näha iseenda vanemate, abikaasa ja laste omavahelisi seoseid. Isikutevahelised suhted tekivad dokumentide alusel. ;SIM-013;70000562;48812124816
E-valijakaardi tellimine;Isik saab endale paberil valijakaardi asemel tellida elektroonilise valijakaardi;SIM-012;70000562;48812124816
Lapse sünni registreerimine;Vastsündinud lapse sünni registreerimine ja soovi korral sünnitõendi väljastamine.;SIM-011;70000562;48812124816
Põhjendatud päring teiste inimeste andmete kohta rahvastikuregistrist;Teenus võimaldab väljastada rahvastikuregistrist teise isiku andmeid õigustatud huvi korral.;SIM-010;70000562;48812124816
Enda kohta käivate rahvastikuregistri andmete väljavõtmine;Rahvastikuregistri päring eesti.ee-st enda ja oma alaealiste laste andmete kohta ja e-postiga päring enda, oma alaealise lapse, eestkostetava või surnud abikaasa kohta. E-postiga tuleb pärida SMITist, oma- või maavalitsustest.;SIM-009;70000562;48812124816
Portaal ERR.ee;Uudisteportaal;ERR-009;74002322;48812124822
Raadioteater;Raadioteater;ERR-008;74002322;48812124823
Raadio 4;Venekeelne raadioprogramm;ERR-007;74002322;48812124824
Raadio 2;Raadioprogramm;ERR-006;74002322;48812124825
Klassikaraadio;Raadioprogramm;ERR-005;74002322;48812124826
Perekonnasündmuse tõendi väljastamine;Teenus võimaldab väljastada sünni-, surma-, abielu- ja abielulahutuse tõendi, nimemuutmise tõendi ja soo muutmise tõendi nii paberil kui elektrooniliselt. ;SIM-008;70000562;48812124816
Perekonnasündmuse dokumendi sisestamise tellimine;Teenus võimaldab tellida enda kohta koostatud ja arhiivis oleva perekonnaseisu dokumendi sisestamise rahvastikuregistrisse. Eelnevalt saab pärida, kas andmed on juba sisestatud.;SIM-007;70000562;48812124816
Kaevandatud mahu aruannete vastuvõtmine;Kaevandatud mahu aruannete vastuvõtmine;MAA-016;70003098;48812124811
Eluruumi omaniku poolt tema eluruumi registreeritud isiku elukoha andmete muutmine;Eluruumi omanik saab taotleda kohaliku omavalitsusüksuse pädevalt asutuselt isiku rahvastikuregistrisse kantud elukoha aadressi andmete muutmist.;SIM-006;70000562;48812124816
Elukohateate edastamine riigiasutuselt kohalikule omavalitsusele;Asutus, kes oma menetluses võtab vastu elukohateate, edastab selle rahavastikuregistrisse kandmiseks linna-või vallavalitsustele.;SIM-005;70000562;48812124816
Elukohateate esitamine;Teenus võimaldab edastada uued elukohaandmed rahvastikuregistrile pärast uude elukohta elama asumist või andmete muutmist.;SIM-004;70000562;48812124816
Kasvuhoonegaaside registris konto avamine;Euroopa Liidu kasvuhoonegaaside lubatud heitkoguse ühikutega kauplemise süsteemis osalemiseks on vaja avada konto kauplemise registris.;KEM-012;70001231;48812124805
Kasvuhoonegaaside heitkoguse ühikutega kauplemise register;Euroopa Liidu kasvuhoonegaaside lubatud heitkoguse ühikutega kauplemise süsteemi rakendamiseks on loodud kauplemise register. Keskkonnaministeerium haldab ja administreerib Eesti registri tööd.;KEM-011;70001231;48812124805
Audiitortegevuse portaal;"Audiitortegevuse portaali põhifunktsionaalsused on järgmised:  1. Registri põhiandmed: vandeaudiitori ja audiitorühingu nimekiri; siseaudiitorite nimekiri; audiitori ja audiitorühingu registrikaardi vaatamine ja haldamine;registrikannete andmed.";RM-013;70000272;
Vikerraadio;Raadioprogramm;ERR-004;74002322;48812124827
ETV+;Venekeelne teleprogramm;ERR-003;74002322;48812124828
ETV2;Teleprogramm;ERR-002;74002322;48812124829
Tarbijakaitseamet.ee/kiosk;Interaktiivne abimees tarbijale saamaks reaalajas infot oma õiguste kohta hilinenud või tühistatud lendude kohta ning ka üldisi reisijaõigusi puudutavate teemade kohta. ;TKA-008;70003247;48812124830
Maaparandusehitiste rajamine;"Maaparandussüsteemi ehitusprojekti koostamiseks väljastab PMA  taotluse alusel projekteerimistingimused; registreerib uurimistööde aruanded; hoone, rajatise ehitamiseks või rekonstrueerimiseks väljastab ehitusloa ja kinnitab kasutuselevõtu akti.";PMA-006;70000071;48812124791
Infopäringutele ja teabenõuetele vastamine;UNESCO ERKi tegevusega seotud infopäringutele ja teabenõuetele vastamine;UNES-001;90005797;48812124831
Seemnete tootmine ja turustamine;PMA kontrollib seemnete pakendamise ja turustamise nõuete täitmist. PMA registreerib seemnesegud, avaldab andmed ameti kodulehel ning kontrollib seemnesegude turustamise nõuete täitmist.;PMA-005;70000071;48812124741
Riiginõuete arvestus ja sissenõudmine;Kohtulahendiga riigi kasuks välja mõistetud nõuete arvestus ja sissenõudmine;RTK-006;70007340;48812124832
Avaliku sektori raamatupidamiskohustuslaste saldoandmike esitamine ja aruannete vaatamine;Teenust kasutades saab vaadata ja salvestada avaliku sektori üksuste finantsaruandeid ning sisestada saldoandmikke;RTK-005;70007340;48812124833
Ostuarvete digiteerimine ja e-arvete haldusteenus riigiasutustele;Riigiasutuste paber ja PDF ostuarved digitaliseeritkase ning koos e-arvetega menetletakse ostuarvete haldamise keskkonnas;RTK-004;70007340;48812124834
Standardiseeritud finants-, personali- ja palgaarvestus alane aruandlus;Teenus võimaldab riigiasutustel saada igapäevaseks juhtimiseks vajalikku informatsiooni finants-, personali- ja palgaarvestuses teostatud toimingute kohta;RTK-003;70007340;48812124834
Riigiasutustele personali-, palga- ja finantsarvestuseks ühtse majandustarkvara SAP teenus;Teenusega saab teostada raamatupidamise-, personali-, palga-, ostutehingute ja müügitheingute arvestust. Jälgida eelarvete täitmist.;RTK-002;70007340;48812124834
Seemnete sertifitseerimine ja kontroll;Sordilehte kantud seemnete sertifitseerimise taotlemine. PMA kontrollib andmeid, teeb põldtunnustamise, tellib seemneproovide analüüsi ja järelkontrolli põldkatsed. Nõuete täitmisel väljastab PMA seemnepartiile tunnistuse ja pakendite etiketid.;PMA-004;70000071;48812124741
Menetlusdokumentide kättetoimetamine e-toimiku vahendusel;Võimaldab tsiviilkohtu-, halduskohtu-, kriminaal- ja väärteomenetlustes menetlusega seotud isikutel talle saadetud dokumente vastu võtta e-toimiku avaliku liidese kaudu. ;JUM-041;70000898;48812124835
Kaubamärgi omaniku andmete (nime ja/või aadressi) muutmine;Saab täita ja saata Patendiametisse elektroonilisi taotlusi kaubamärgi omaniku andmete (nime ja/või aadressi) muutmiseks.;EPA-015;70003164;48812124813
Dokumendi esitamine tsiviilkohtu-, halduskohtu-, kriminaal- ja väärteomenetlusse;Võimaldab esitada uusi dokumente olemasolevatesse tsiviilkohtu-, halduskohtu-, kriminaal- ja väärteomenetlustesse ning alustada uut tsiviil- ja halduskohtumenetlust. ;JUM-040;70000898;48812124835
Päringute sooritamine e-toimiku avalikus liideses;Võimaldab tutvuda menetluste andmete ja dokumentidega tsiviilkohtu-, halduskohtu-, kriminaal- ja väärteomenetlustes. ;JUM-039;70000898;48812124835
Maksekäsu kiirmenetluse XML-teenus;Maksekäsu kiirmenetluse avalduste esitamise X-tee teenus on suunatud neile, kellel on vajadus esitada maksekäsu kiirmenetluse avaldusi suuremas mahus.;JUM-038;70000898;48812124835
Teabenõude esitamine Patendiametile;Teabenõudega saab küsida Patendiametis juba olemas olevat teavet (nt dokumenti või väljavõtet).;EPA-014;70003164;48812124836
Telli mikrofilm;"	 Tellida saab kasutuskoopiat mikrofilmist, mis sisaldab teoseid, mille suhtes autoriõiguse kehtivuse tähtaeg on lõppenud.";NLIB-007;74000139;
Telli teisest raamatukogust (RVL);Raamatukogudevahelise laenutuse (RVL) teel saavad Eesti Rahvusraamatukogu registreeritud lugejad tellida meie raamatukogus puuduvat kirjandust teistest Eesti (v.a.Tallinn) ja välismaa raamatukogudest.;NLIB-006;74000139;
Telli digitaalkoopia raamatust;Tellida saab digitaalkoopiat Eesti Rahvusraamatukogus leiduvatest trükistest (tervikteostest), mille suhtes autoriõiguse kehtivuse tähtaeg on lõppenud.;NLIB-005;74000139;
